term,beverage_type,category,job_id,item_id,row_index,source_id,status,attempt_count,last_error,result_json,reported_at,completed_at
Barrique,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Barrique,10,Barrique,completed,1,,"{""how_to_apply"":""Use barrique to indicate elevage in the classic 225-liter Bordeaux cask when assessing how small-format oak will influence oxygen exchange, tannin refinement, and toast imprint. In buying notes or exam settings, specify time in barrique and proportion of new barrique to distinguish it from larger-format maturation, because the term signals a concrete stylistic and cost impact rather than generic oak aging.""}",2026-03-07T07:41:09+00:00,2026-03-07T07:41:13+00:00
Biodynamic,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Biodynamic,11,Biodynamic,completed,1,,"{""how_to_apply"":""Apply biodynamic as a production and buying descriptor only when the estate follows biodynamic viticulture, ideally with recognized certification or a clearly documented farming regime; in exams, lists, and sales materials, use it to signal a specific vineyard-management philosophy rather than to imply a guaranteed flavor profile.""}",2026-03-07T07:41:05+00:00,2026-03-07T07:41:05+00:00
Blanc,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Blanc,12,Blanc,completed,1,,"{""how_to_apply"":""Use blanc to designate a white wine style on labels, lists, and exam answers, whether it comes from white grapes or from dark-skinned fruit handled without skin contact, as in blanc de noirs. In buying and service, the term helps distinguish white bottlings or cuvees within a producer range when color and vinification method matter to selection and presentation.""}",2026-03-07T07:41:08+00:00,2026-03-07T07:41:08+00:00
Bobal,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Bobal,13,Bobal,completed,1,,"{""how_to_apply"":""Apply Bobal when identifying or positioning wines from Utiel-Requena and Manchuela, where the grape’s naturally deep color, firm acidity, and tannic structure inform style expectations from fresh rosado to concentrated old-vine reds. In buying and exam contexts, use the term to signal a distinctly Spanish variety that can deliver high-yield commercial fruit or serious low-yield bottlings with marked continental character.""}",2026-03-07T07:41:11+00:00,2026-03-07T07:41:17+00:00
Botrytis,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Botrytis,14,Botrytis,completed,1,,"{""how_to_apply"":""Apply Botrytis when identifying wines made from noble-rotted fruit, where the infection drives concentration and signatures such as apricot preserve, orange marmalade, saffron, beeswax, and a viscous palate. In buying, service, and exam settings, use the term to separate true botrytized sweetness from simple late-harvest ripeness or dried-grape concentration.""}",2026-03-07T07:41:17+00:00,2026-03-07T07:41:19+00:00
Bourgogne,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Bourgogne,15,Bourgogne,completed,1,,"{""how_to_apply"":""Use Bourgogne to anchor both origin and style expectations: on a list or in a buying brief, it signals Burgundy provenance and prompts the next precision step, whether regional appellation, village, vineyard hierarchy, or the distinction between Pinot Noir- and Chardonnay-led offerings. In tasting and education, apply the term as the geographic frame for discussing how Burgundy’s fragmented terroir, élevage choices, and market tiers shape classic benchmarks and commercial positioning.""}",2026-03-07T07:41:19+00:00,2026-03-07T07:41:21+00:00
Brix,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Brix,16,Brix,completed,1,,"{""how_to_apply"":""Use Brix to state grape sugar concentration at sampling or harvest, helping a winemaker time picking, model potential alcohol, and judge whether fruit has reached the intended ripeness window for the style. In wine education and cellar discussion, citing the Brix reading anchors decisions around harvest dates, chaptalization risk, and balance between sugar maturity and acidity.""}",2026-03-07T07:41:26+00:00,2026-03-07T07:41:27+00:00
Brunello,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Brunello,17,Brunello,completed,1,,"{""how_to_apply"":""Apply Brunello when specifying the Montalcino Sangiovese biotype in production notes, buying language, or exam answers; in trade use, the term signals a structurally built, ageworthy red profile rather than generic Sangiovese fruit expression.""}",2026-03-07T07:41:29+00:00,2026-03-07T07:41:30+00:00
Cabernet,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Cabernet,18,Cabernet,completed,1,,"{""how_to_apply"":""Use Cabernet as a terroir-sensitive benchmark by relating site and climate to tannin shape, cassis spectrum, pyrazine expression, and structural longevity in tasting notes, buying decisions, and blind exams. In production and merchandising, the term is applied to frame origin-driven style differences, from gravel-grown, cedar-toned restraint to riper, plusher expressions from warmer inland sites.""}",2026-03-07T07:41:27+00:00,2026-03-07T07:41:28+00:00
Carbonic,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Carbonic,19,Carbonic,completed,1,,"{""how_to_apply"":""Use carbonic to identify wines made with carbonic or semi-carbonic fermentation when explaining a Beaujolais-style profile of lifted red fruit, low tannin, and early-drinking appeal. In buying and exam settings, apply the term to connect cellar technique to style expectations rather than to a grape variety or appellation.""}",2026-03-07T07:41:33+00:00,2026-03-07T07:41:35+00:00
Carmenere,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Carmenere,20,Carmenere,completed,1,,"{""how_to_apply"":""Use Carmenere to identify and position wines built on ripe dark fruit, green peppercorn, and soft tannin, especially in Chilean assortments where it fills the gap between Merlot generosity and Cabernet structure. In tasting and exams, apply the term when those herbal pyrazine notes and plush texture point to the variety as a distinct commercial and sensory cue rather than a generic Bordeaux-style red.""}",2026-03-07T07:41:35+00:00,2026-03-07T07:41:35+00:00
Carignan,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Carignan,21,Carignan,completed,1,,"{""how_to_apply"":""Use Carignan to frame expectations for a wine’s structural profile, especially in old-vine Mediterranean examples where the variety often delivers dark fruit, herbal lift, firm acidity, and rustic tannin. In buying and education, the term is applied to distinguish varietal or blend components from Grenache- and Syrah-led wines and to signal regions where Carignan is valued for freshness, yield control, and age-worthy concentration.""}",2026-03-07T07:41:37+00:00,2026-03-07T07:41:39+00:00
Chablis,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Chablis,22,Chablis,completed,1,,"{""how_to_apply"":""Apply Chablis as a precise benchmark for cool-climate Chardonnay, using its Kimmeridgian limestone signature, high acidity, and often saline restraint to frame tasting calls and food pairing. In buying, merchandising, and exams, separate Petit Chablis, village, Premier Cru, and Grand Cru to predict concentration, site prestige, and aging potential.""}",2026-03-07T07:41:44+00:00,2026-03-07T07:41:45+00:00
Champagne,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Champagne,23,Champagne,completed,1,,"{""how_to_apply"":""Apply Champagne only to sparkling wine from the delimited Champagne AOC made under its governing production rules, especially when validating label accuracy, positioning prestige cuvees on a list, or training buyers and candidates to separate it from other traditional-method sparkling wines.""}",2026-03-07T07:41:42+00:00,2026-03-07T07:41:44+00:00
Chaptalization,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Chaptalization,24,Chaptalization,completed,1,,"{""how_to_apply"":""Use chaptalization to explain why a cool-vintage wine can reach normal alcohol without corresponding flavor ripeness, and assess whether the added sugar likely affected balance, regional typicity, or labeling discussions. In production and exam contexts, apply the term specifically to pre-fermentation enrichment for alcohol adjustment, not sweetening the finished wine.""}",2026-03-07T07:41:45+00:00,2026-03-07T07:41:46+00:00
Clone,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Clone,25,Clone,completed,1,,"{""how_to_apply"":""Use clone to specify the genetically distinct selection of a grape variety when discussing planting material, as different clones are chosen for traits such as yield, bunch architecture, ripening curve, and flavor profile. In buying, production, and exam contexts, the term is applied to explain why two wines from the same variety and site can differ in aroma, texture, and vineyard performance.""}",2026-03-07T07:41:50+00:00,2026-03-07T07:41:52+00:00
Decanting,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Decanting,26,Decanting,completed,1,,"{""how_to_apply"":""Apply decanting selectively in service and assessment to separate mature wine from sediment or to moderate reduction and tight structure in a young bottle before it is judged, listed, or poured. In buying and education, specify whether the wine benefits from immediate decanting, brief aeration, or no decant at all, because that decision materially changes aromatic expression, texture, and perceived readiness.""}",2026-03-07T07:41:53+00:00,2026-03-07T07:41:54+00:00
Dosage,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Dosage,27,Dosage,completed,1,,"{""how_to_apply"":""Apply dosage when assessing or specifying a traditional-method sparkling wine’s post-disgorgement sweetness and balance, since the liqueur d'expedition can shift a cuvee from razor-dry tension to a rounder Brut profile. In buying, service, and exam settings, use the term to explain style differences between otherwise similar bottlings and to guide pairings from oysters and fried foods to fruit-driven desserts.""}",2026-03-07T07:41:58+00:00,2026-03-07T07:41:59+00:00
Elegance,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Elegance,28,Elegance,completed,1,,"{""how_to_apply"":""Apply elegance to wines whose balance, texture, and flavor progression read as refined rather than forceful, such as when contrasting a lifted, finely structured Pinot Noir against a more extracted style in tasting notes, buying sets, or exam discussion. In production and merchandising, the term signals restrained alcohol, precise tannin or acid management, and detail over sheer weight.""}",2026-03-07T07:42:01+00:00,2026-03-07T07:42:02+00:00
Extraction,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Extraction,29,Extraction,completed,1,,"{""how_to_apply"":""Use extraction to judge how fully a red wine has drawn color, tannin, and phenolic material from skins, seeds, and stems during fermentation and maceration, then connect that level to palate shape and aging potential. In production reviews, buying, and exams, describe it as restrained, moderate, or aggressive to explain why a wine reads supple, structured, or drying.""}",2026-03-07T07:42:02+00:00,2026-03-07T07:42:03+00:00
Filtration,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Filtration,30,Filtration,completed,1,,"{""how_to_apply"":""Use filtration to explain how a wine’s clarity and microbiological stability were secured, noting when a tighter or sterile pass may trim texture and mute some site-specific aromatic detail. In buying, tasting, and exam contexts, distinguish unfiltered, lightly filtered, and sterile-filtered wines because that choice directly affects brilliance, bottle stability, and how transparently terroir is conveyed.""}",2026-03-07T07:42:07+00:00,2026-03-07T07:42:08+00:00
Fining,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Fining,31,Fining,completed,1,,"{""how_to_apply"":""Use fining to explain why a wine shows improved brilliance, softer phenolic grip, or greater aromatic clarity after clarification, and to assess whether the chosen agent preserved varietal character while removing unwanted haze or bitterness. In buying and exams, note fining as a deliberate cellar intervention that can influence texture, vegan suitability, and final presentation in bottle.""}",2026-03-07T07:42:10+00:00,2026-03-07T07:42:11+00:00
Fronsac,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Fronsac,32,Fronsac,completed,1,,"{""how_to_apply"":""Apply Fronsac when a wine’s provenance and market positioning depend on the Right Bank appellation’s Merlot-led profile, typically signaling clay-limestone structure, dark fruit, and greater grip than basic Bordeaux. In buying, teaching, and blind assessment, use the term to distinguish a value-minded alternative to Saint-Emilion or Pomerol with credible cellar potential.""}",2026-03-07T07:42:11+00:00,2026-03-07T07:42:13+00:00
Gamay,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Gamay,33,Gamay,completed,1,,"{""how_to_apply"":""Use Gamay to position a wine as a bright, low-tannin red with immediate drinkability, especially when buying, listing, or hand-selling Beaujolais and similar fresh-fruited styles. In tasting and exam contexts, the grape should cue red cherry and raspberry fruit, floral lift, lively acidity, and, where relevant, the sensory imprint of semi-carbonic fermentation.""}",2026-03-07T07:42:16+00:00,2026-03-07T07:42:19+00:00
Grenache,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Grenache,34,Grenache,completed,1,,"{""how_to_apply"":""Apply Grenache when evaluating how warm, dry, often stony vineyard sites shape a wine’s profile, using it in tasting and buying to anticipate pale hue, generous red-fruit weight, herbal scrub notes, and elevated alcohol, especially in old-vine or GSM-context bottlings.""}",2026-03-07T07:42:20+00:00,2026-03-07T07:42:21+00:00
Harvest,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Harvest,35,Harvest,completed,1,,"{""how_to_apply"":""Use harvest to frame how a winegrowing area’s season and picking window shaped the wine, such as citing an early, compressed harvest in a warm region or a delayed harvest in a cool site when explaining ripeness, acidity, yields, and release expectations.""}",2026-03-07T07:42:23+00:00,2026-03-07T07:42:24+00:00
Hermitage,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Hermitage,36,Hermitage,completed,1,,"{""how_to_apply"":""Use Hermitage to identify a Northern Rhone benchmark wine in buying, tasting, and exam contexts: typically a structured, ageworthy Syrah from the hill of Hermitage, or more rarely a white based on Marsanne and Roussanne, with corresponding grand-cru pricing and cellar expectations.""}",2026-03-07T07:42:26+00:00,2026-03-07T07:42:27+00:00
Jeroboam,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Jeroboam,37,Jeroboam,completed,1,,"{""how_to_apply"":""Use Jeroboam to denote a large-format wine bottle in buying sheets, cellar inventories, and service planning, since the format affects both presentation and maturation expectations. In education, exams, and merchandising, apply the term with style or regional context because Jeroboam may indicate different capacities in Champagne than in still-wine usage.""}",2026-03-07T07:42:31+00:00,2026-03-07T07:42:32+00:00
Jura,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Jura,38,Jura,completed,1,,"{""how_to_apply"":""Apply Jura when you need to frame a wine through its eastern French origin and the stylistic cues that follow, especially high-acid, mineral whites, sous-voile Savagnin, oxidative élevage, or light, savory reds from grapes like Trousseau and Poulsard. In buying, tasting, and exam contexts, the term signals a place-based style set rather than a varietal descriptor.""}",2026-03-07T07:42:35+00:00,2026-03-07T07:42:36+00:00
Lambrusco,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Lambrusco,39,Lambrusco,completed,1,,"{""how_to_apply"":""Use Lambrusco to anchor the wine to Emilia-Romagna’s Modena and Reggio Emilia zone, then refine with the specific DOC place name, such as Sorbara or Grasparossa di Castelvetro, to signal the expected color, structure, and dryness level. In buying, list writing, and exam settings, that geographic precision separates authentic regional bottlings from generic fizzy red wine.""}",2026-03-07T07:42:38+00:00,2026-03-07T07:42:39+00:00
Languedoc,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Languedoc,40,Languedoc,completed,1,,"{""how_to_apply"":""Apply Languedoc when positioning a wine as a southern French Mediterranean blend profile, typically to frame expectations around ripe fruit, garrigue-like herbal notes, sun-driven texture, and strong value across appellation and IGP tiers. In buying and exam contexts, the term is used to distinguish regional sourcing and stylistic breadth from narrower village or cru designations within the wider Languedoc market.""}",2026-03-07T07:42:40+00:00,2026-03-07T07:42:42+00:00
Lees,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Lees,41,Lees,completed,1,,"{""how_to_apply"":""Use lees to identify élevage decisions such as sur lie aging or bâtonnage when explaining a wine’s creamier texture, autolytic savor, and protected freshness. In buying notes, staff training, or exams, the term should link yeast-solids contact to style and handling, rather than be confused with unwanted sediment in bottle.""}",2026-03-07T07:42:45+00:00,2026-03-07T07:42:46+00:00
Maceration,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Maceration,42,Maceration,completed,1,,"{""how_to_apply"":""In cellar decisions and trade briefs, maceration is used to specify how long juice remains in contact with skins, seeds, and sometimes stems, because that choice sets the wine’s color depth, phenolic grip, and degree of flavor extraction. In tasting or buying, distinguishing gentle from extended maceration helps explain whether a wine’s structure and texture come from extraction rather than oak or site alone.""}",2026-03-07T07:42:47+00:00,2026-03-07T07:42:48+00:00
Malbec,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Malbec,43,Malbec,completed,1,,"{""how_to_apply"":""Use Malbec with its place name when buying, listing, or teaching, because Mendoza Malbec and Cahors Malbec cue distinctly different structure, fruit profile, and market expectations. In blind assessment or staff training, the term is applied to connect dark-fruited, black-plum character and tannic shape to origin-driven style rather than to treat Malbec as a single uniform expression.""}",2026-03-07T07:42:52+00:00,2026-03-07T07:42:53+00:00
Malolactic,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Malolactic,44,Malolactic,completed,1,,"{""how_to_apply"":""Use malolactic to indicate that a wine has undergone or avoided conversion of malic acid to softer lactic acid, shaping both texture and flavor profile. In tasting notes, buying decisions, and production discussion, it signals whether to expect firmer green-apple acidity or a rounder, creamier palate with lower perceived sharpness.""}",2026-03-07T07:42:54+00:00,2026-03-07T07:42:56+00:00
Marsanne,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Marsanne,45,Marsanne,completed,1,,"{""how_to_apply"":""Use Marsanne to identify a white-wine offer or blend component when assessing body, texture, and ageworthiness, especially in Rhône-derived programs where it contributes weight, waxy orchard-fruit character, and moderate acidity. In buying and exam contexts, apply the term to distinguish varietal Marsanne from Roussanne- or Viognier-led wines and to anticipate a broader, less aromatic profile in the glass and on a list.""}",2026-03-07T07:42:54+00:00,2026-03-07T07:42:54+00:00
Merlot,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Merlot,46,Merlot,completed,1,,"{""how_to_apply"":""Apply Merlot as a place-sensitive variety by linking its texture and flavor profile to site conditions: cooler, clay-influenced terroirs tend to yield firmer structure and savory restraint, while warmer, well-drained sites push it toward plush fruit and earlier approachability. In buying, tasting, and exam settings, use Merlot to demonstrate how terroir shifts the grape from Right Bank-style precision to broader, riper expressions without changing the underlying variety.""}",2026-03-07T07:43:00+00:00,2026-03-07T07:43:01+00:00
Minerality,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Minerality,47,Minerality,completed,1,,"{""how_to_apply"":""Apply minerality when a wine’s palate and finish show distinct stony, saline, chalky, or ferrous impressions that support a site-driven reading rather than overt fruit or oak. In buying, teaching, and exam settings, use it to connect sensory evidence to origin, especially for wines marketed on limestone, volcanic, schist, or marine-influenced terroir.""}",2026-03-07T07:43:02+00:00,2026-03-07T07:43:03+00:00
Monastrell,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Monastrell,48,Monastrell,completed,1,,"{""how_to_apply"":""Apply Monastrell when identifying or merchandising the Spanish name for Mourvedre, especially in regions such as Jumilla, Yecla, and Alicante where the term signals full-bodied reds with dark fruit, Mediterranean herb, and firm tannic structure. In tasting exams, buying notes, and service language, it distinguishes the Iberian expression from French-labeled Mourvedre and helps set expectations for both varietal bottlings and powerful blends.""}",2026-03-07T07:43:06+00:00,2026-03-07T07:43:07+00:00
Mourvedre,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Mourvedre,49,Mourvedre,completed,1,,"{""how_to_apply"":""Use Mourvedre to identify a wine or blend component that brings dark fruit, earthy savor, firm tannin, and late-ripening warm-climate character, especially in discussions of Bandol, GSM-style assemblages, or structured Mediterranean reds. In buying and service, the term helps position wines for guests seeking savory, ageworthy reds and for pairings with grilled lamb, game, or robust stews.""}",2026-03-07T07:43:11+00:00,2026-03-07T07:43:12+00:00
Muscadet,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Muscadet,50,Muscadet,completed,1,,"{""how_to_apply"":""Apply Muscadet when specifying Loire whites built on Melon de Bourgogne, especially in buying and service contexts where sur lie aging, cru communal origin, and the wine’s saline, shellfish-driven pairing profile materially distinguish it from broader generic white wine offers. In exam and staff-training use, treat the term as a terroir-and-style cue tied to the Atlantic edge around Nantes rather than as a grape synonym or a catchall for light French white.""}",2026-03-07T07:43:10+00:00,2026-03-07T07:43:14+00:00
Muscat,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Muscat,51,Muscat,completed,1,,"{""how_to_apply"":""Apply Muscat as a place-linked reference only when the term is functioning within an appellation or regional designation, then use that origin cue to infer the likely style, sweetness level, and any fortification practice. In buying, teaching, and exam settings, distinguish that geographic use from the Muscat grape family so label interpretation stays precise.""}",2026-03-07T07:43:25+00:00,2026-03-07T07:43:28+00:00
Nebbiolo,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Nebbiolo,52,Nebbiolo,completed,1,,"{""how_to_apply"":""Apply Nebbiolo when identifying or positioning wines built on high tannin, marked acidity, pale garnet color, and complex rose, tar, and red-cherry aromatics, especially in Piedmont contexts such as Barolo and Barbaresco. In buying, tasting, and exam settings, the term signals a structurally ageworthy grape that demands distinction from softer, fruit-forward red varieties.""}",2026-03-07T07:43:19+00:00,2026-03-07T07:43:20+00:00
Oenology,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Oenology,53,Oenology,completed,1,,"{""how_to_apply"":""Use oenology to frame wine through the technical decisions behind it, such as harvest timing, fermentation management, maturation, and fault prevention, rather than through grape variety alone. In trade education, production notes, and exam settings, the term signals formal wine science and winemaking discipline applied to style, stability, and quality outcomes.""}",2026-03-07T07:43:22+00:00,2026-03-07T07:43:24+00:00
Oxidation,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Oxidation,54,Oxidation,completed,1,,"{""how_to_apply"":""Use oxidation as a diagnostic when assessing maturity, storage integrity, and élevage style: identify whether nutty, bruised-apple, or aldehydic notes are intentional and wine-appropriate or signal heat damage, ullage, or excessive oxygen exposure. In buying and service, it guides bottle selection, rotation, decanting decisions, and staff training around styles where oxidative development is either a fault or a defining trait.""}",2026-03-07T07:43:25+00:00,2026-03-07T07:43:25+00:00
Parellada,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Parellada,55,Parellada,completed,1,,"{""how_to_apply"":""Apply Parellada when identifying the high-altitude Catalan component that brings lift and delicacy to traditional-method sparkling blends, especially Cava, rather than body or aromatic weight. In buying, tasting, and exam contexts, use the term to signal a finer, fresher blending role tied to cooler vineyard sites in Penedes and related DOs.""}",2026-03-07T07:43:29+00:00,2026-03-07T07:43:31+00:00
Pigeage,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Pigeage,56,Pigeage,completed,1,,"{""how_to_apply"":""Use pigeage to describe cap management by manually or mechanically punching skins back into fermenting red must, especially when assessing extraction choices in Pinot Noir or other gentle vinifications. In production notes, buying discussions, or exams, the term signals a softer tannin and phenolic strategy than aggressive pump-overs, with direct implications for texture and aromatic precision.""}",2026-03-07T07:43:32+00:00,2026-03-07T07:43:36+00:00
Pinot,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Pinot,57,Pinot,completed,1,,"{""how_to_apply"":""Use Pinot to denote the Pinot family when discussing grape lineage, mutations, and site suitability, but in buying, education, and exams specify Noir, Gris, Blanc, or Meunier unless context clearly defaults to Pinot Noir. In tasting and merchandising, the term is applied to set expectations around the family’s generally subtle color, moderate body, and transparent expression of site rather than as a standalone style cue.""}",2026-03-07T07:43:36+00:00,2026-03-07T07:43:38+00:00
Pomerol,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Pomerol,58,Pomerol,completed,1,,"{""how_to_apply"":""Apply Pomerol when identifying or positioning a right-bank Bordeaux from the plateau and surrounding gravels where Merlot typically leads, signaling buyers and students to expect plush texture, dark plum fruit, and clay-influenced depth rather than Medoc-style structure. In tasting, service, and merchandising, the term justifies a premium, collector-oriented framing around small-production Merlot-dominant blends with notable ageability and a distinct absence of formal cru classé ranking.""}",2026-03-07T07:43:37+00:00,2026-03-07T07:43:38+00:00
